Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
pengguna aku mau *** sama kamu,0,1,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna sudah menghina tapi tidak malu menggunakan fasilitas yang pemerintah bikin *** daster tidak tau malu tidak punya harga diri makan gaji dari negara yang dia *** haram,1,1,0,1,0,0,0,0,1,0,1,0
menteri perhubungan presiden jokowi berikan berbagai ide dan arahan penting dalam proses pembangunan bandara kertajati,0,0,0,0,0,0,0,0,0,0,0,0
rasarasanya ingin bercerita pada sang kakak meminta kekuatan darinya tapi yang didapat hanya *** tanpa suara dijawab pun entah lah,0,0,0,0,0,0,0,0,0,0,0,0
dapat kabar kalau di barel oi ada bom ya allah kasihan banget ya yang indekos dekat situ,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna nanti dulu memang anaknya pepo bisa apa xe2x9dx93 tampang doang xe2x9dx93nmo dibawa kemana bangsa ini mau jadikan foto model xe2x9dx93xe2x9dx93nncebong saja urus biar tidak rewel begini,1,1,0,1,0,0,0,0,1,0,1,0
pengguna tidak juga tidak ada orang kayak di sekolah sekolah negeri nnyg benaran beragam kayaknya sekolah sekolah kristen yang tidak mahal kayak miskin macam macam etnis,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna maksud saya pendidikan jangan dibatasi helen keller wanita *** tuli dan *** bisa mendapatkan gelar sarjana amp berprestasi steven hawking bisa tetap mengembangkan ilmu di dalam kelumpuhannya tidak,0,0,0,0,0,0,0,0,0,0,0,0
besok kalau prabowo mencalonkan presiden lagi dan teriakteriak masalah ketimpangan jangan dipercaya dia saja memaki wartawan gaji kecil kok,1,0,1,0,0,0,0,0,1,1,0,0
pengguna tabayun sebelum ngomyangcocot busuk wkwk dipelihara memainkan isu sara kok bangga,1,1,1,0,0,0,1,0,0,1,0,0
indonesiakuasaifreeportnsebagai penghuni freeport ikut bangga sih ya semoga tenaga kerja *** nya juga dibatasi lagi lebih banyak tenaga kerja indonesia yang butuh,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna sabar saja saya pikir ini sebagian dari golongan rakyat indonesia yang bentuk fisiknya manusia tetapi punya jiwa *** karena golongan *** itu amat krisis sifat kemanusiaan,0,0,0,0,0,0,0,0,0,0,0,0
pengguna *** suka di gagahi,0,1,0,0,0,0,0,0,0,0,0,0
sebelumnya mereka biasa memohon kedatangan nabi untuk mendapat kemenangan atas orangorang *** maka,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna siapa yang bilang jadi kafir memang susah haha itu kan sel sel otak kamu belum menyambung juga ya susah memang jadi kafir *** pula orang berbicara kemana dia berbicara kemana memaki agama islam saja pakai rujukan internasional haha sama,1,1,1,0,1,0,0,0,0,1,0,0
maksudnya kelas bawah harus diam tidak boleh bicara ya pak pengguna itu namanya otoriter,1,0,1,0,0,0,0,0,1,1,0,0
memang kalau temannya makan *** kita juga harus makan *** begitu kan tidak sih ya,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna daripada kamu monyet *** ***,1,1,1,0,0,1,0,0,0,1,0,0
karena itu presiden joko widodo menginstruksikan badan pengawas keuangan dan,0,0,0,0,0,0,0,0,0,0,0,0
pengguna haha capeknngua kira video 13 detik dia benaran berbicara ***,0,1,0,0,0,0,0,0,0,0,0,0
pengguna kucingnya ***,0,0,0,0,0,0,0,0,0,0,0,0
ratusan ulama dan santri desak penganugerahan gelar pahlawan nasional untuk kh ahmad sanusi pikiran rakyat,0,0,0,0,0,0,0,0,0,0,0,0
soal munir juga ada kaitannya dengan mengapa *** jokowi sangat anti islam setelah saya twitkan semoga menjadi jelas sejelasnya,1,0,0,1,1,0,0,0,0,0,1,0
pengguna pengguna anaknya pak soemitro begawan ekonomi tapi pola pikir admin gerinda ini kayak tidak pernah kuliahjangan sampai kamu fakir ilmu,0,0,0,0,0,0,0,0,0,0,0,0
pekerja seks komersial artis online marak kembali di bicarakan tyas mirasih peringati netizennnetizen tyasmirasihnurl,0,0,0,0,0,0,0,0,0,0,0,0
terus temanku lihatkan ke aku ssan cerita sih istri ini tadi sih istri curhat habishabisan dan mengatai sih suami ini *** ngemention akun sih suami,0,1,0,0,0,0,0,0,0,0,0,0
*** ngebut menabrak anak kecil wkwk uniform resource locator,0,0,0,0,0,0,0,0,0,0,0,0
pengguna freeport kan memang kontraknya mau habis jadi biasa saja tidak ada yang istimewa yang aneh dolar sekarang mau tembus tapi malah pada diam memang penjilat kekuasaan menjadi *** ya tum melihat bobroknya kinerja ***,1,1,1,0,0,0,0,0,1,1,0,0
pengguna aduh *** ya pendukung *** ini ya kayak begini,1,1,0,1,0,0,0,0,1,0,1,0
pengguna pengguna diktator jokowi jongos organisasi jagal manusia nu lagi mengatur siasat kampanye,1,1,0,1,0,0,0,0,1,0,1,0
rt pengguna ngawursembarang saja panitia khusus hanya menghambat komisi pemberantasan korupsi untuk penyelidikan teman temannya yang koruptor bubarkan dewan perwakilan rakyat yang sarang koruptor,1,0,0,1,0,0,0,0,1,0,0,1
pengguna sehat omklo tidak sehat minum kencing *** dulu,0,1,0,0,0,0,0,0,0,0,0,0
rt pengguna kirim bantuan pencitraan,1,0,1,0,0,0,0,0,1,1,0,0
pengguna eh *** tidak usah banyak bacot kamu gue tantang duel kamu bangsat,1,1,1,0,0,0,0,0,1,1,0,0
jangan rindu rindu itu beratnnbiarin saja sih *** dilan yang menanggung,0,1,0,0,0,0,0,0,0,0,0,0
gosip itu dibuat oleh orang iri disebarkan oleh orang *** dan diterima oleh orang ***,0,1,0,0,0,0,0,0,0,0,0,0
pengguna pengguna dasarkunyuk nih nyariduitmodal nipubangsat abu,1,1,1,0,0,0,0,0,1,1,0,0
pengguna pengguna tak baca berita nyasy kira nih aki mungkin sudah punya gangguan jiwaseandai nya nanti amin kalahbisa nanti malaikat di bilang *** dan pro asengkasian malaikatgk mengerti urusan calon presiden tetapi di bawa sama aki ***,1,1,1,0,0,0,1,0,0,1,0,0
pengguna pengguna pengguna pengguna pengguna pengguna ngoaaahahaaa saking kejang kejang nya sih *** kuda prabowo bin *** sampai tidak baca tulisan gue ibu kamu masih selingkuh dengan kuda prabowo itu ngoaaahahaaaa,1,1,0,1,0,0,0,0,1,0,1,0
pengguna pengguna cari simpati umat muslim jabar buat pemilihan presiden mudahan ulama amp umat islam jabar tidak terkesima amp terpengaruh dengan trik dan gaya kemunafikannya sih mukidi,1,0,1,0,0,0,0,0,1,1,0,0
rt pengguna yang menebar kebencian itu ahok mbakmasa mbak tidak tau sih sampai dia jadi terdakwa lah pengguna,1,0,1,0,0,0,0,0,1,1,0,0
pengguna *** gue *** yugi *** kamu *** arab,1,1,1,0,0,0,0,0,1,1,0,0
pengguna terima kasih johor darul takzim alya spesifikasi bulat tudung ala ala ustazah sekolah agama,0,0,0,0,0,0,0,0,0,0,0,0
jika tidak ada demo berjilidjilid atas pernyataan pengguna soal kitab suci adalah fiksi maka hampir bisa dipastikan tujuan utama gerakan bela islam berjilidjilid versi 212 dan seterusnya adalah motif politik untuk menjatuhkan ahok ahok telah menjadi korban,1,0,0,1,1,0,0,0,0,0,1,0
pengguna pengguna pengguna pengguna ketahuan kan akhirnyangaku sendiri memaksa orang di penjara *** berkedok agama,1,1,1,0,1,0,0,0,0,1,0,0
pagi hari di antara hambaku ada yang beriman kepadaku dan ada yang *** siapa yang mengatakan bi fadhlillahi wa kita diberi hujan karena karunia dan rahmat allah maka dialah yang beriman ke,0,0,0,0,0,0,0,0,0,0,0,0
tolak berita hoaks dan siap menyukseskan pilihan kepala daerah dami di kota kediri,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna yang dongok kamu *** yang *** juga kamu kalabong jadi apa marah marah dan siapa juga yang menyuruh kamu ladeninelu saja baru menetas *** ***,1,1,1,0,0,0,0,0,1,1,0,0
pendukung prabowo surat pemberitahuan tahunan arb sda adalah orang orang bejat tabiatnya kasar termasuk orang ini gtgt pengguna,1,1,0,1,0,0,0,0,1,0,1,0
pengguna mau kamu baca fan fiction couple straightyuriyaoi jatuhnya tetap delusi juga kan jadi menurut aku sih tiap orang punya preferensi masing masing dalam membaca cerita yang mereka suka kalau aku cuma jadikan hiburan saja dan juga kalau mereka *** hak kita b,0,0,0,0,0,0,0,0,0,0,0,0
betul susilo bambang yudhoyono secara objektif lebih mumpuni politisi indonesia terhebat saat ini tidak kayak jokowi tidak pantas jadi presiden uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
sesama muslim tidak boleh menzalimi menjerumuskan dan menganiaya hari muslim,0,0,0,0,0,0,0,0,0,0,0,0
pengguna *** kamu albumalbum gue belinya juga pakai duit gue tidak merugikan emak bapak kamu ini terlalu sering dicerahami beli album,1,1,1,0,0,0,0,0,1,1,0,0
pengguna kalau aku bodoh amati atau melakukan hal hal yang disuka buat ngedistract dari pikiran pikiran begitu,0,1,0,0,0,0,0,0,0,0,0,0
nama jonru ginting status terlapor kasus ujaran kebencian diduga mendukung aniessandi,1,0,1,0,0,0,0,0,1,1,0,0
pengguna tidak usah berbicara kamu ***,1,1,1,0,0,0,0,0,1,1,0,0
pengguna mm kalau dipercayai sama orang lain sering ***,0,0,0,0,0,0,0,0,0,0,0,0
setujuklo tidak mau kita usir seluruh buddha yang di indonesia,1,0,0,1,1,0,0,0,0,0,1,0
anda menghina islam muhammad tidak tahu budi terhadap sukunya sendiri mengajar salat meminta pahala dari allah subhanahu wa taala,1,0,0,1,1,0,0,0,0,0,1,0
bubarkan ikatan alumni universitas indonesia oi,1,0,0,1,0,0,0,0,1,0,0,1
pengguna pengguna *** yang sebenarnya *** ***,0,1,0,0,0,0,0,0,0,0,0,0
pengguna pak pengguna secepatnya islam dinyatakan sesat dan menyesatkan tidak perlu lagi ada bank syariat,1,1,0,1,1,0,0,0,0,0,1,0
buku langkagt tuanku rao teror agama islam mazhab hambali di tanah batak 18161833 tahun 1964 690 halaman hard cover minat,0,0,0,0,0,0,0,0,0,0,0,0
calon presiden diminta tes urine dia juga meminta badan narkotika nasional lakukan tes urine ke semua c informasi teknologi teknologi digital,0,0,0,0,0,0,0,0,0,0,0,0
pengguna ikutan saja kamu ***,1,1,1,0,0,0,0,0,1,1,0,0
pengguna tidak fotonya berarti disembunyikan nnberbusa sabun soklinnmawar cap buayanbiasa dikibulinn wajar ku tak percaya,0,0,0,0,0,0,0,0,0,0,0,0
pengguna belum jadi gubernur saja sudah menabrak etika bagaimana kalau menjabat memang yang lantik dia kalau jadi gubernur dukun ya atau calon presiden kalau tidak senang sama presiden yang menjabat ya jangan mau dilantik sama beliau jadi jangan jadi calon gubernur sekarang nanti saja kalau yang dia dukung sudah jadi presiden baru mencalonkan gubernur,1,0,1,0,0,0,0,0,1,1,0,0
pengguna pengguna pengguna pengguna pengguna ltstronggtdasar *** *** 7 turunanltstronggt,1,1,0,1,0,0,0,0,1,0,1,0
serius nih berita polisi mau ikutan politik kok beraninya sama tukang becak memang dia doang yang pakai sudah mulai ketakutan ya power sindrom melanda istana lawan tukang becak pengguna pengguna pengguna pengguna pengguna,1,0,0,1,0,0,0,0,1,0,1,0
pengguna pengguna di *** sekarang menteri nya lucu,0,0,0,0,0,0,0,0,0,0,0,0
prabowo subianto tak restui ketua gerindra jawa tengah maju pilihan gubernur ini alasannya uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
pengguna rute pondok cinagang sentiong keberangkatan pertama tersedia pukul 0428 waktu indonesia bagian barat tks 2,0,0,0,0,0,0,0,0,0,0,0,0
jangan serahkan nasib bangsa ini kepada orangorang yang mengabdi mengkacungkan diri ke cukongcukong asing penghianat negara kesatuan republik indonesia yang jadi pemodal dana kampanye,1,1,0,1,0,0,0,0,1,0,1,0
di era kapitalisme korporasi tumbuh gigantik menjadi lebih berkuasa dan kuat secara ekonomi melampaui negara,0,0,0,0,0,0,0,0,0,0,0,0
rt pengguna seekor *** yang berada di kebun binatang tianjin cina menjadi viral karena memiliki wajah seperti manusia ***,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna karena partaimu partai demokrasi indonesia perjuangan itu ***,1,1,0,1,0,0,0,0,1,0,1,0
kaum 12 kafir dengan otak junk food nya masih berkelit mencatut islam dengan kegiatan kegiatan yang merusak aqidah islam,1,1,0,1,1,0,0,0,0,0,1,0
pengguna iya benar sih tidak sama dulu jokowi meninggalkan solo ke *** solonya keren bersih nnketika jokowi meninggalkan jakarta ke *** jakarta keren sungai bersih nnnah yang sekarang kerja tidak becus keduanya tanah abang ruwet parah kalixc2xb2 jadi,0,0,0,0,0,0,0,0,0,0,0,0
mungkin maksud pemerintah dengan dihibahkan ke mereka maka akan tercatat sebagai aset dan bisa dianggarkan biaya perbaikan dan perawatannya secara rutin pengguna pengguna pengguna pengguna pengguna pengguna pengguna,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna pengguna pengguna pengguna alaaaahhhhh omongan *** adalah sudah ketahuan kemana arahnya mau pakai tol kelok pun tetap tidak usah sok sok islam kamu ***,1,1,0,1,1,0,0,0,0,0,1,0
anda mendungukan membiadabkan bangsa mengajak menyembahnyembah allah subhanahu wa taala *** dan biadab,1,1,0,1,1,0,0,0,0,0,1,0
pengguna jokowi yang mundur lebih pas,1,0,1,0,0,0,0,0,1,1,0,0
sudah tau gue bakal war masalah jubah jubahan cukup menyimak saja lah ya kyungsoo sama taehyung bias gue bagaimana gue bisa war ***,0,1,0,0,0,0,0,0,0,0,0,0
pengguna pengguna binatang ***,1,1,0,1,0,0,0,0,1,0,1,0
pengguna pengguna bilangnya anti *** asing asong dan kafir *** kamprettttternyata manusia munafik semua kalianuser suka juga rupanya sama asing sampai impor bawang puti,1,1,0,1,0,0,0,0,1,0,1,0
pengguna pengguna dari pagi pak amal post minum kopiaku gagal fokus sama meja makan kayu yang tidak dikasih *** eh kok bagus lihat cangkir kopinya kok bagus eh ini rak dibelakangnya juga suka penataan display,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna ayo mana bahasa budaya kita haha,0,0,0,0,0,0,0,0,0,0,0,0
risaunya sekarang nih ada pengasuh ***,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna dasar ***,1,1,1,0,0,0,0,0,1,1,0,0
pengguna masih lebih terhormat pelacur dari pakde kamu *** betina kerjanya hanya menyebarkan hoaks *** amat sih hidup kamu,1,1,1,0,0,0,0,1,0,1,0,0
pengguna pengguna pengguna ditanya siapa gantinya presiden *** langsung klojotangak salah rocky gerung bilang *** *** stabil,1,1,0,1,0,0,0,0,1,0,1,0
*** meminta di sodok,0,1,0,0,0,0,0,0,0,0,0,0
pesona budaya suku kamoro papua rambah wilayah timur swiss kanton st gallen pengguna pengguna pengguna pengguna,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna yang menentukan adalah sistem metabolisme masing masing orang makan sedikit tapi penyerapannya tinggi jadi gampang *** sebaliknya yang sistem penyerapannya rendah biar makan banyak tetap kurus,0,0,0,0,0,0,0,0,0,0,0,0
menyediakan lapangan pekerjaan bagi sekitar orang di indonesia karyawan perseroan terbatas freeport indonesia terdiri dari 6975 karyawan nasional karyawan papua serta 22 karyawan *** freeport 51,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna bisa tetap melangkah tetapi ke arah yang lain dimana *** warna tidak menjadi penghambat jawaban pak si menteri dan pak presiden sudah pas dan bijak,0,0,0,0,0,0,0,0,0,0,0,0
namun *** soeharto memberi izin perluasan hingga 25 juta hektare pada 1989 lewat kontrak anyar nfreeport51,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna coba kalau helikopternya dipakai united kingdom menyerang yahudi zionismungkin tidak ya,0,0,0,0,0,0,0,0,0,0,0,0
isu partai komunis indonesia muncul semenjak adanya tabloid obor rakyat mulai saat itu isu fitnah bahwa jokowi sebagai keturunan partai komunis indonesia berkembang sampai sekarang dan akan selalu digunakan untuk menjatuhkan dan menyudutkan presiden jokowi romahurmuziy,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna bangkai kamu,1,1,1,0,0,0,0,0,1,1,0,0
cnn indonesia apa saja proyek strategis presiden jokowi yang selesai di akhir periode kabinet kerja,0,0,0,0,0,0,0,0,0,0,0,0
pengguna giliran disodorkan fakta yang adacebong pada mingkemttep saja bagi *** mau dia sengsara juga dukung dilanotaknya sudah terkontaminasigc bisa pikir waras,1,1,0,1,0,0,0,0,1,0,1,0
rt pengguna siangsiang begini enaknya diciumi sama *** uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
minuman keras oplosan pelarian warga akibat masalah ekonomi sosiolog oi paulus wirutomo menyebut,0,0,0,0,0,0,0,0,0,0,0,0
jika kamu bukan anak raja juga bukan anak ulama besar maka menulislah imam al ghazali,0,0,0,0,0,0,0,0,0,0,0,0
pengguna kalau memang benar dengan semua ini amp tanpa adanya hukuman buat sih bangkai keturunan *** *** ini cukuplah sudah penderitaan yang di alami rakyat indonesia nusantara yang di dalamnya bahasa adat istiadat budaya ras agama suku dllnpemimpin a,1,1,1,0,0,0,0,0,1,1,0,0
pengguna *** sudah girang padahal di kibuli *** kamu *** mata kamu pada ***,1,1,0,1,0,0,1,0,0,0,1,0
takiyuddin tidak menjelaskan kerusi parlemen mana yang bakal ditandingi oleh abdul hadi pada pru 14 ini,0,0,0,0,0,0,0,0,0,0,0,0
ayat ini juga dikaji penggalah kepala dan pancunglah tiap tiap ujung jari mereka 812,1,0,0,1,1,0,0,0,0,0,1,0
pengguna pengguna pengguna bak *** jerman sudah anis diresmikan belum toilet keliling gunting pitanya ya nomor induk siswa,1,0,1,0,0,0,0,0,1,1,0,0
kalau jodoh ditangan tuhan mungkin mantan kita sekarang sedang ditangan ***,0,1,0,0,0,0,0,0,0,0,0,0
pengguna kalau ada yang bunyi bunyi langsung telusuri siapa yang back up kalau berafiliasi dengan pihak luar langsung cap saja anteknsetahu saya wartawan wartawan australia belanda dan lain lain masih banyak di papua yang rutin cek cek soal hamtdk tau ya sekarang bagaimana masih rutin apa tidak,0,0,0,0,0,0,0,0,0,0,0,0
pakar ekonomi sambut positif jokowiharry tanoe,0,0,0,0,0,0,0,0,0,0,0,0
seandainya jend soeharto tidak ada di tahun 1965 nasib bangsa indonesia bisa menjadi negara *** *** pengguna pengguna pengguna,1,0,0,1,1,1,0,0,0,0,1,0
pengguna pengguna pengguna mana sanggup dia menangkap yang jadi presiden cuma petugas partai jujungan mangkrak ya jinjingan belum,1,1,1,0,0,0,0,0,1,1,0,0
rt pengguna lawan politik mulai tebar fitnah ada upaya jegal prabowo maju di pemilihan presiden uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
pengguna pengguna pengguna sudah tau junjungan *** itu licikyaa kok pada mau menghamba sama tukang menipu,1,1,1,0,0,0,0,0,1,1,0,0
rt pengguna kapan pengguna bikin film bakar bakar sekolahan buat pencitraan pak pengguna uniform resource locator,1,0,0,1,0,0,0,0,1,0,1,0
pengguna mari kita doakan penegak hukum diberi kesehatan keselamatan gaji ke 13 dan tunjangan hari raya yang berlimpah setelah diumumkan bapak presiden dan mengangkat orang orang yang menghina agama islam menjadi duta pancasila nnsalam hangat untuk userpip,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna oooohhhok sebut pasal pusat keamanan elok juga boleh malaysia menasihatberi tekanan dekat arab saudi daripada bom yamanaku kalau boleh nak buat bds arab saudi dekat malaysia setengah orang kita bangga makan mc donalds produk,0,0,0,0,0,0,0,0,0,0,0,0
mau mulai fubuan itu pelajari dulu calon partnernya jangan langsung hajar pakai analisa swot pelajari kekuatannya apa kelemahannya apa opportunity kayak bagaimana amp threat dari sebahaya apa logika sedikit jangan gara gara disyerpik begitu ketemu langsung sikat kalau dia psiko *** l,1,1,1,0,0,0,0,0,1,1,0,0
pengguna pendukung *** ini memang warrrbisah,0,0,0,0,0,0,0,0,0,0,0,0
rt pengguna hatihati kalian orangorang dan kader gus dur yang pribumi *** cina yang dipasang di *** ini lagi sedang mengeprek saat ini,1,0,0,1,0,1,0,0,0,0,1,0
kenapa karena pengangguran meningkat,1,0,1,0,0,0,0,0,1,1,0,0
pengguna pengguna kecoak mulai berbicara tidak jelas juntrungannya ya gue tinggal tidak mutu berbicara sama orang *** kayak kamu,1,1,1,0,0,0,0,0,1,1,0,0
presiden jokowi bikin pegawai negeri sipil bahagia dengan kebijakannya ini,0,0,0,0,0,0,0,0,0,0,0,0
pengguna indonesia bukan milik islam masih ada kristenbudha dan hindu camkan,0,0,0,0,0,0,0,0,0,0,0,0
pengguna tindak tegas kecurangan pasangan calon tersebut jangan sampai mengotori pilihan kepala daerah di sumatra utara ini,0,0,0,0,0,0,0,0,0,0,0,0
bodoh amat bangsa gue lagi ujian akhir semester uniform resource locator,1,1,1,0,0,0,0,0,1,1,0,0
pengguna itu bukan hamil haha *** lucu banget,0,1,0,0,0,0,0,0,0,0,0,0
pengguna profesor begini kamu bilang belum,0,1,0,0,0,0,0,0,0,0,0,0
pengguna berharap sama *** ini saya rasa mustahil namun pesan saya buat pengguna ada nih bahan buat pencitraan untuk pemilihan presiden,0,0,0,0,0,0,0,0,0,0,0,0
solo rank di comebackn sakit baru tau kalau tank takut war cacat bangkai,0,1,0,0,0,0,0,0,0,0,0,0
pengguna pengguna jijik kamu manusia homo,1,1,1,0,0,0,0,1,0,1,0,0
tuli tuli bom orang rusia lullaby,0,0,0,0,0,0,0,0,0,0,0,0
coincidentally berdoa makan bersamaan dengan mas mas katolik meja depan he made sign of the cross dan mbak mbak kristen meja samping i think soalnya she folded her hands adem banget,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna *** amat tidak bisa pecahkan balon wkwk,0,1,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna dasar ***,1,1,1,0,0,0,0,0,1,1,0,0
pengguna pengguna bank pemerintah gulung tikar kmdn di jual ke asingaseng,0,0,0,0,0,0,0,0,0,0,0,0
mega rona utusan malaysia 11april lebih daripada politik beli utusan malaysia atau langgan di islam muslim alquran keluarga wanita kesehatan hiburan artis budaya sains teknologi alam sekitar alumni kampus universitas wira tentera polis,0,0,0,0,0,0,0,0,0,0,0,0
innalillahi wah ini ilaihi rojiun keluarga besar nahdlatul ulama berduka cita yang sangat mendalam atas wafatnya kiai kholilurrahman ra lilur cicit syaikhona kholil bangkalan semoga allah merahmati dan menempatkan ra lilur di sisinya amin,0,0,0,0,0,0,0,0,0,0,0,0
pengguna mau pegang rusia takut dituduh *** *** mau pegan kroasia takut dituduh *** *** semenjak banyak tukang tuduh hpup saya sulit,0,0,0,0,0,0,0,0,0,0,0,0
pengguna maling teriak maling *** teriak *** biasanya orang orang kayak begitu waktu lahirnya campur ***,1,1,1,0,0,0,0,0,1,1,0,0
sih anak *** muncul di twitter pengguna,1,1,1,0,0,0,0,0,1,1,0,0
pengguna pengguna apa apaan bapaknya sih kakak *** sitohang,1,1,1,0,0,0,0,0,1,1,0,0
tidak semua laki laki berengsek tapi laki laki berengsek itu benar benar ada di dunia ini,0,1,0,0,0,0,0,0,0,0,0,0
puisi kamu ini bagaimana atau aku harus bagaimana karya pengguna lahir masa orde baru menyuarakan suara orangorang yang tertindas jadi bagian gerakan reformasi yang mengakhiri orde baru,0,0,0,0,0,0,0,0,0,0,0,0
pengguna karena kamu kayak kontol,1,1,1,0,0,0,0,1,0,1,0,0
pengguna lebih unik bapak kamu dari pada jokowi,1,0,1,0,0,0,0,0,1,1,0,0
kelebihan orang siapa tau macam tun chedet lah sampai kamu turn pun dia tau nak jadi pm balik katanya,0,0,0,0,0,0,0,0,0,0,0,0
nabi adam itu fiksi nabi ibrahim itu fiksi nabi musa itu fiksi nabi nuh itu fiksi nabi bisa itu fiksi dan para ulama jadi kelihatan *** untuk memperingati nuzul alquran tiap tahun jika mengikuti logika pengguna,1,1,1,0,1,0,0,0,0,1,0,0
apalagi teriak allah hu barbar rusak telinga bung fahri kapan diskusi buang islam di dewan perwakilan rakyat,1,1,0,1,1,0,0,0,0,0,1,0
pengguna pengguna pengguna pengguna pengguna pengguna kkkkkkkkkkkkkk kok sama seperti junjunganmu sudah *** plonga plongo lagi,1,1,0,1,0,0,0,0,1,0,1,0
lagi isu kemanusiaan rohingya membuktikan ketidakcermatan pengguna dan tim dalam mengelola sebuah isu,1,0,0,1,0,0,0,0,1,0,1,0
selamat siang masyarakat banten sambut pilihan kepala daerah serentak di banten dengan penuh kebahagiaan serta aman dan kondusif,0,0,0,0,0,0,0,0,0,0,0,0
ada saatnya kamu menyesal bangsat v karena saya sakit saja ini saya jadi tidak bisa ngapangapain tunggu saja saya sehat ya lihat apa yang bisa saya lakukan bangsat kamu,1,1,1,0,0,0,0,0,1,1,0,0
pengguna pengguna *** menyamar pemakan *** mulut sama dengan junjungannya yang pak di tolak,1,1,1,0,1,0,0,0,0,1,0,0
pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna eh serius ingin muntah benaran *** kamu hyung,1,1,1,0,0,0,0,0,1,1,0,0
pengguna mereka *** dan mulai merusak,1,1,1,0,0,0,1,0,0,1,0,0
aki amien rais bilang prabowo sama dengan bung karno sama dari mana bung karno mempersatukan suku agama ras pulau negara kesatuan republik indonesia prabowo malah memecah belah dasar mabuk aki,1,0,1,0,0,0,0,0,1,1,0,0
pengguna hmmmm somi mencium bau bau ***,0,0,0,0,0,0,0,0,0,0,0,0
harusnya dewan perwakilan rakyat tidak cuma revisi undang undang soal terorisme saja tapi juga harus revisi undang undang untuk kalimat kalimat yang ambigu begini tujuannya kan bagus supaya tidak salah paham ingat kan salah paham itu bisa merusak harmonisasi kewarganegaraan bahkan bisa memecah,0,0,0,0,0,0,0,0,0,0,0,0
dia sendiri yang mengiklankan promo cashback di appnyan penggunaan kode berhasil tapi cashback tidak masuk2n bilangnya ada kesalahan pada sistem dan promo sudah berakhirnnbodo amat oi kesalahan sistem bukan urusanku aku hanya ingin cashback 20 yang dijanjikan olehmu pengguna uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
pengguna kamu tidak salah masa mau belajar hal baru atau mau melihat sesuatu dari kacamata lain melalui acara televisi ini salah enggak kamu sudah baik adanya lanjutkan saja apa yang kamu lakukan itu positif banget untuk diri kamu mereka adalah memang sudah pada dasarnya *** dan tidak mau berkembang jadi,1,1,0,1,0,0,0,0,1,0,1,0
pengguna para ulama nu mengajarkan tentang bagaimana harus saling menghormati antar sesama walaupun berbeda agama suku bahasa dan budaya,0,0,0,0,0,0,0,0,0,0,0,0
berbagai cara dilakukan *** jokowi baca *** susilo bambang yudhoyono jilid 3 untuk meraih dukungan republiken isu islam radikal terorisme islam ancaman isis islam nusantara *** dan lain lain digoreng untuk meyakinkan republiken as bahwa presiden ri mendatang tetap di tang,1,0,1,0,1,0,0,0,0,1,0,0
silaturahmi ke pimpinan dewan kemakmuran masjid masjid alkautsar h toniman beliau mendoakan hasanah menang di pilihan kepala daerah jabar untuk menyukseskan programprogram hasanah yang pro rakyat bravo hasanah jawa barat hasanah 2 saja pengguna pengguna hasanah untuk jawa barat,0,0,0,0,0,0,0,0,0,0,0,0
pengguna yang anti kebinekaan *** yang dituduh umat islam,1,1,0,1,0,0,0,0,1,0,1,0
rt pengguna baru di begitukan sama pemain persija sudah kayak kebakaran kumisnsuporter kok baperannengga ingat kelakuan kalian ke,0,0,0,0,0,0,0,0,0,0,0,0
